322

Cognoman ’ Nomen Possessio habitationis

Kovachiz iliius {5133 lacobus, , Obrezina

Dominus Koosz losephuS, Kurillovecz
Koosz Iosephus, Rakittovecz
Koosz Andreas, Bussevecz
Koosz Mathias, Mraczlin
Koosz Blasius,

Koosz alit. Grabrovich Iacobus,

Koosz Mathias alter,

Koosz Georgius, Lukavecz Superior
Koosz Stephanus, Mlaka Maior
Koosz Michael, Hrasche
Koosz Michael alter,

Koosz Ioan. baptista,

Koosz Adamas, Dubranecz
Koosz Ioannes baptista,

Koosz Georgius,

Koosz PauluS,

Koosz Simon,

Koosz Georgius alter,

Kooszich Nicolaus, Czerovszko Berdo
Kooszich Mathias, Havidich
Kundich Ioan. baptista, Mracziin
Kussevich Mathias, Pleszo

Lakovich Paulus, Bussevecz
Lakovich Iosephus,

Lakovich Mathias,

Lakovich Georgius,

Ladissieh Nicolaus, Lukavecz Inferior
anzkovich Stephanus, Mlaka Maior
Laczkovich Nicolaus,

Laczkovich Michael,

Laezkovich Thomas, Lukaveez in dominio

Topolovecz
Laczkovich Stephanus,
Laczkovich Petrus, Sziszcii
Laczkovich Andreas
Laczlrovich Laurentius,
Laczkovich Marcus,

 

